Date,直接總訪客,渠道總訪客,行銷總訪客,總訪客,直接新訪客,渠道新訪客,行銷新訪客,新訪客,直客註冊,渠道註冊,行銷註冊,總註冊,直客註冊率,渠道註冊率,行銷註冊率,總註冊率,信用卡驗證成功,證件驗證成功,總驗證成功,驗證率,直客體驗卷,體驗卷,總體驗卷,體驗卷使用率,直客訂閱,渠道七日訂閱,渠道月季年訂閱,行銷訂閱,總訂閱,直客訂閱率,渠道訂閱率,行銷訂閱率,總訂閱率,首次訂閱到期人數,首次訂閱續費人數,7日免費首訂續費人數,首次序費率,直客續費,渠道七日續費,渠道月季年續費,行銷續費,總續費,信用卡續費失敗,七日退訂,七日續費退訂,月退訂,季退訂,年退訂,總退訂,渠道月季年訂閱費用,渠道七日續費費用,累積訪客,累積註冊,累積訂閱用戶,累積付費用戶,站上訂閱人數,站上付費訂閱人數,真實站上付費訂閱人數,累積營收
2023-03-05,3421,2167,803,6391,3016,1818,656,5490,148,161,42,351,4.33 %,7.43 %,5.23 %,5.49 %,67,22,89,25.36 %,0,0,0,0.00 %,42,5,1,11,59,28.38 %,3.73 %,26.19 %,16.81 %,69,24,22,34.78 %,71,25,6,18,120,4,25,12,2,0,0,27,749,1794,2023520,146280,11015,6637,4136,3751,3167,4800248
2023-03-04,3466,1836,982,6284,3055,1560,785,5400,138,126,36,300,3.98 %,6.86 %,3.67 %,4.77 %,67,17,84,28.00 %,0,0,0,0.00 %,39,5,1,10,55,28.26 %,4.76 %,27.78 %,18.33 %,78,32,30,41.03 %,67,11,2,30,110,0,29,19,2,0,0,31,749,598,2017129,145935,10962,6609,4275,3874,3181,4756476
2023-03-03,3955,2618,1014,7587,3548,2292,821,6661,135,151,34,320,3.41 %,5.77 %,3.35 %,4.22 %,55,13,68,21.25 %,0,0,0,0.00 %,30,5,4,11,50,22.22 %,5.96 %,32.35 %,15.62 %,92,25,19,27.17 %,36,6,4,14,60,2,65,35,7,0,1,73,1646,1646,2011059,145642,10915,6565,4365,3909,3174,4714350
2023-03-02,4213,3431,1081,8725,3769,3078,851,7698,184,227,44,455,4.37 %,6.62 %,4.07 %,5.21 %,73,16,89,19.56 %,0,0,0,0.00 %,35,15,2,10,62,19.02 %,7.49 %,22.73 %,13.63 %,66,28,21,42.42 %,28,11,2,12,53,2,41,17,5,1,0,47,598,598,2003783,145328,10869,6535,4373,3900,3159,4689672
2023-03-01,4379,3305,1751,9435,3896,2953,1469,8318,165,208,52,425,3.77 %,6.29 %,2.97 %,4.50 %,61,16,77,18.12 %,0,0,0,0.00 %,27,5,0,15,47,16.36 %,2.40 %,28.85 %,11.06 %,57,29,21,50.88 %,39,15,8,10,72,2,28,16,1,1,0,30,0,3292,1995504,144883,10813,6508,4362,3898,3149,4667434
2023-02-28,4836,7005,2851,14692,4351,6285,2575,13211,195,195,68,458,4.03 %,2.78 %,2.39 %,3.12 %,102,21,123,26.86 %,5,7,12,9.76 %,58,9,2,10,79,29.74 %,5.64 %,14.71 %,17.25 %,45,25,23,55.56 %,31,13,1,15,60,2,39,19,2,1,0,42,1498,749,1986655,144466,10770,6480,4353,3884,3134,4640814
2023-02-27,4794,7897,800,13491,4357,7233,658,12248,187,181,27,395,3.90 %,2.29 %,3.38 %,2.93 %,107,16,123,31.14 %,6,4,10,8.13 %,57,10,4,12,83,30.48 %,7.73 %,44.44 %,21.01 %,50,23,23,46.00 %,29,21,1,16,67,6,35,16,5,0,0,40,4446,299,1972604,144015,10696,6447,4334,3882,3113,4609488
2023-02-26,4990,8451,845,14286,4551,7768,695,13014,227,228,33,488,4.55 %,2.70 %,3.91 %,3.42 %,107,23,130,26.64 %,6,6,12,9.23 %,52,13,5,14,84,22.91 %,7.89 %,42.42 %,17.21 %,56,35,30,62.50 %,45,18,2,17,82,0,28,13,2,0,0,30,1945,1498,1959799,143626,10621,6410,4296,3861,3094,4576972
2023-02-25,5015,8799,1139,14953,4513,8152,1001,13666,244,226,47,517,4.87 %,2.57 %,4.13 %,3.46 %,108,23,131,25.34 %,5,5,10,7.63 %,61,15,0,13,89,25.00 %,6.64 %,27.66 %,17.21 %,36,17,17,47.22 %,40,15,2,10,67,3,25,8,0,1,0,26,0,1048,1946310,143149,10544,6366,4250,3830,3066,4530671
2023-02-24,5386,9511,1157,16054,4890,8708,1005,14603,276,210,40,526,5.12 %,2.21 %,3.46 %,3.28 %,132,18,150,28.52 %,4,0,4,2.67 %,85,15,2,6,108,30.80 %,8.10 %,15.00 %,20.53 %,34,19,18,55.88 %,37,17,2,18,74,2,26,10,2,1,0,29,2948,1048,1932388,142646,10459,6338,4194,3816,3044,4498602
2023-02-23,4632,6873,645,12150,4174,6086,523,10783,213,219,28,460,4.60 %,3.19 %,4.34 %,3.79 %,93,12,105,22.83 %,1,1,2,1.90 %,55,10,1,4,70,25.82 %,5.02 %,14.29 %,15.22 %,38,21,19,55.26 %,127,85,10,28,250,68,38,13,1,1,0,40,749,4340,1917465,142136,10357,6301,4158,3827,3047,4450700
2023-02-22,3956,7153,789,11898,3501,6407,631,10539,170,199,45,414,4.30 %,2.78 %,5.70 %,3.48 %,73,14,87,21.01 %,3,2,5,5.75 %,29,14,3,12,58,17.06 %,8.54 %,26.67 %,14.01 %,36,14,14,38.89 %,17,9,1,8,35,33,23,12,3,0,0,26,1347,749,1906466,141686,10290,6270,4129,3813,3027,4358713
2023-02-21,4224,6033,954,11211,3731,5338,779,9848,146,176,44,366,3.46 %,2.92 %,4.61 %,3.26 %,71,9,80,21.86 %,3,1,4,5.00 %,23,8,3,16,50,15.75 %,6.25 %,36.36 %,13.66 %,50,19,16,38.00 %,23,6,1,9,39,1,30,16,3,1,0,34,1797,749,1895756,141282,10238,6246,4114,3798,3008,4339012
2023-02-20,4096,6776,2081,12953,3633,6048,1863,11544,167,204,68,439,4.08 %,3.01 %,3.27 %,3.39 %,79,13,92,20.96 %,4,3,7,7.61 %,28,14,3,15,60,16.77 %,8.33 %,22.06 %,13.67 %,48,24,19,50.00 %,18,18,3,10,49,2,34,23,0,3,1,38,3697,2247,1885773,140931,10191,6225,4109,3796,3001,4321507
2023-02-19,4654,6530,2571,13755,4183,5915,2291,12389,180,216,73,469,3.87 %,3.31 %,2.84 %,3.41 %,68,11,79,16.84 %,7,4,11,13.92 %,37,8,4,18,67,20.56 %,5.56 %,24.66 %,14.29 %,48,24,23,50.00 %,21,8,3,16,48,11,31,16,1,0,0,32,2096,897,1874188,140506,10135,6197,4092,3787,2987,4296868
2023-02-18,4124,6109,1035,11268,3728,5472,847,10047,162,159,39,360,3.93 %,2.60 %,3.77 %,3.19 %,54,5,59,16.39 %,2,3,5,8.47 %,25,3,4,15,47,15.43 %,4.40 %,38.46 %,13.06 %,62,27,26,43.55 %,35,9,1,13,58,32,34,16,0,0,0,34,2096,749,1861805,140046,10077,6165,4099,3788,2963,4275630
2023-02-17,4085,5852,1578,11515,3667,5256,1393,10316,175,194,51,420,4.28 %,3.32 %,3.23 %,3.65 %,54,11,65,15.48 %,6,3,9,13.85 %,28,7,3,11,49,16.00 %,5.15 %,21.57 %,11.67 %,56,34,32,60.71 %,30,20,0,12,62,22,27,13,1,0,0,28,1797,0,1851843,139688,10034,6131,4091,3767,2940,4250399
2023-02-16,4167,4842,1542,10551,3735,4325,1399,9459,156,164,39,359,3.74 %,3.39 %,2.53 %,3.40 %,52,16,68,18.94 %,4,5,9,13.24 %,27,5,4,12,48,17.31 %,5.49 %,30.77 %,13.37 %,67,41,40,61.19 %,34,15,0,10,59,27,35,27,3,0,0,38,3996,0,1841749,139273,9993,6087,4085,3737,2909,4221127
2023-02-15,4205,4442,550,9197,3748,3900,452,8100,154,132,47,333,3.66 %,2.97 %,8.55 %,3.62 %,56,8,64,19.22 %,4,9,13,20.31 %,22,9,3,9,43,14.29 %,9.09 %,19.15 %,12.91 %,53,25,20,47.17 %,38,22,1,6,67,14,18,7,2,1,0,21,3247,299,1832519,138926,9952,6042,4095,3719,2883,4195147
2023-02-14,4221,4542,454,9217,3783,4034,352,8169,184,153,47,384,4.36 %,3.37 %,10.35 %,4.17 %,71,3,74,19.27 %,2,5,7,9.46 %,37,14,4,6,61,20.11 %,11.76 %,12.77 %,15.89 %,57,30,27,52.63 %,39,27,3,12,81,5,34,11,3,4,0,41,3996,1347,1824549,138601,9912,6015,4098,3712,2873,4166322
2023-02-13,4505,4931,487,9923,4070,4360,351,8781,198,153,37,388,4.40 %,3.10 %,7.60 %,3.91 %,69,6,75,19.33 %,3,6,9,12.00 %,31,10,4,12,57,15.66 %,9.15 %,32.43 %,14.69 %,59,21,20,35.59 %,37,24,7,10,78,7,36,17,1,2,0,39,3546,2993,1816490,138226,9855,5977,4097,3693,2850,4129167
2023-02-12,4862,4849,517,10228,4409,4306,395,9110,178,185,43,406,3.66 %,3.82 %,8.32 %,3.97 %,74,4,78,19.21 %,6,2,8,10.26 %,26,8,8,18,60,14.61 %,8.65 %,41.86 %,14.78 %,87,44,42,50.57 %,47,21,4,17,89,6,33,16,3,1,0,37,7542,1646,1807817,137844,9808,5952,4096,3672,2826,4091909
2023-02-11,4928,4874,563,10365,4485,4317,452,9254,209,163,52,424,4.24 %,3.34 %,9.24 %,4.09 %,84,5,89,20.99 %,6,4,10,11.24 %,44,8,0,25,77,21.05 %,4.91 %,48.08 %,18.16 %,65,34,34,52.31 %,41,17,3,12,73,3,34,14,3,1,0,38,0,897,1798824,137440,9756,5901,4074,3623,2789,4050163
2023-02-10,7094,4383,570,12047,6623,3774,460,10857,224,157,49,430,3.16 %,3.58 %,8.60 %,3.57 %,88,6,94,21.86 %,10,7,17,18.09 %,45,11,5,10,71,20.09 %,10.19 %,20.41 %,16.51 %,72,42,39,58.33 %,53,23,6,17,99,2,28,10,3,2,0,33,1945,2244,1789701,137017,9686,5856,4041,3589,2758,4017351
2023-02-09,5356,7569,609,13534,4875,6745,483,12103,211,155,59,425,3.94 %,2.05 %,9.69 %,3.14 %,98,9,107,25.18 %,5,2,7,6.54 %,54,10,7,15,86,25.59 %,10.97 %,25.42 %,20.24 %,68,22,17,32.35 %,48,14,5,20,87,39,28,19,5,1,0,34,5343,1495,1778925,136597,9625,5807,4613,4132,3318,3971567
2023-02-08,5210,6080,534,11824,4747,5365,406,10518,182,161,62,405,3.49 %,2.65 %,11.61 %,3.43 %,67,7,74,18.27 %,4,2,6,8.11 %,32,13,3,12,60,17.58 %,9.94 %,19.35 %,14.81 %,95,36,31,37.89 %,29,12,3,17,61,26,37,17,0,0,0,37,1347,1797,1766857,136173,9550,5776,4604,4116,3304,3928773
2023-02-07,4980,7757,655,13392,4494,7086,498,12078,205,166,47,418,4.12 %,2.14 %,7.18 %,3.12 %,69,9,78,18.66 %,6,4,10,12.82 %,38,6,1,17,62,18.54 %,4.22 %,36.17 %,14.83 %,111,56,50,50.45 %,48,15,4,32,99,10,51,29,3,0,0,54,299,1196,1756551,135771,9497,5735,4618,4093,3286,3900546
2023-02-06,5143,2825,826,8794,4646,2488,640,7774,240,198,57,495,4.67 %,7.01 %,6.90 %,5.63 %,82,6,88,17.78 %,5,2,7,7.95 %,36,13,4,21,74,15.00 %,8.59 %,36.84 %,14.95 %,136,86,84,63.24 %,79,23,3,24,129,2,67,41,5,2,0,74,1646,897,1744939,135353,9438,5677,4617,4048,3248,3863953
2023-02-05,5321,2878,1713,9912,4851,2517,1410,8778,242,194,96,532,4.55 %,6.74 %,5.60 %,5.37 %,124,9,133,25.00 %,11,11,22,16.54 %,55,15,1,28,99,22.73 %,8.25 %,29.17 %,18.61 %,152,96,93,63.16 %,67,19,7,47,140,1,87,50,5,4,0,96,299,2993,1737288,134859,9366,5577,4613,3963,3178,3810848
2023-02-04,4767,2741,1684,9192,4304,2406,1366,8076,209,171,77,457,4.38 %,6.24 %,4.57 %,4.97 %,87,4,91,19.91 %,5,12,17,18.68 %,42,15,1,16,74,20.10 %,9.36 %,20.78 %,16.19 %,199,135,130,67.84 %,106,24,5,43,178,6,54,28,1,1,0,56,749,1495,1728672,134331,9273,5475,4594,3874,3133,3760199
2023-02-03,4941,2647,813,8401,4470,2308,612,7390,213,156,71,440,4.31 %,5.89 %,8.73 %,5.24 %,95,8,103,23.41 %,10,12,22,21.36 %,45,9,1,20,75,21.13 %,6.41 %,28.17 %,17.05 %,229,133,128,58.08 %,119,42,8,50,219,7,77,49,2,1,0,80,749,2842,1720728,133876,9202,5338,4643,3764,3055,3697034
2023-02-02,4886,2438,776,8100,4414,2060,599,7073,242,155,79,476,4.95 %,6.36 %,10.18 %,5.88 %,93,1,94,19.75 %,13,10,23,24.47 %,40,9,3,21,73,16.53 %,7.74 %,26.58 %,15.34 %,519,333,329,64.16 %,210,13,4,115,342,2,74,50,3,2,0,79,1797,2096,1713410,133438,9129,5204,4761,3637,2970,3622510
2023-02-01,4296,2298,939,7533,3875,1908,751,6534,260,138,106,504,6.05 %,6.01 %,11.29 %,6.69 %,122,9,131,25.99 %,21,8,29,22.14 %,54,12,0,29,95,20.77 %,8.70 %,27.36 %,18.85 %,217,133,130,61.29 %,73,14,7,54,148,5,102,44,1,2,0,105,0,2543,1706391,132965,9060,4867,4780,3309,2756,3507763
2023-01-31,4842,5766,1127,11735,4371,5033,933,10337,227,213,123,563,4.69 %,3.69 %,10.91 %,4.80 %,147,4,151,26.82 %,21,8,29,19.21 %,60,17,5,37,119,26.43 %,10.33 %,30.08 %,21.14 %,60,32,29,53.33 %,29,11,4,16,60,3,63,10,2,2,0,67,2395,1646,1699890,132467,8967,4729,4726,3182,2672,3457570
2023-01-30,5229,9834,1426,16489,4719,8716,1191,14626,352,286,151,789,6.73 %,2.91 %,10.59 %,4.79 %,209,13,222,28.14 %,25,21,46,20.72 %,108,12,8,42,170,30.68 %,6.99 %,27.81 %,21.55 %,54,39,33,72.22 %,39,22,6,14,81,3,69,20,5,0,0,74,4742,2244,1689447,131910,8853,4686,4637,3151,2650,3432146
2023-01-29,6317,13203,1966,21486,5731,11821,1685,19237,403,238,222,863,6.38 %,1.80 %,11.29 %,4.02 %,247,11,258,29.90 %,32,32,64,24.81 %,112,12,8,68,200,27.79 %,8.40 %,30.63 %,23.17 %,62,30,29,48.39 %,29,19,1,13,62,4,69,15,4,1,0,74,3292,299,1674625,131131,8691,4616,4518,3097,2603,3389017
2023-01-28,16724,13335,2417,32476,16214,11959,2152,30325,488,196,255,939,2.92 %,1.47 %,10.55 %,2.89 %,305,17,322,34.29 %,52,31,83,25.78 %,137,16,5,74,232,28.07 %,10.71 %,29.02 %,24.71 %,88,54,50,61.36 %,45,24,2,19,90,1,69,11,2,0,0,71,1495,598,1655025,130278,8501,4548,4367,3035,2556,3347872
2023-01-27,5993,14437,2724,23154,5468,13011,2371,20850,614,296,286,1196,10.25 %,2.05 %,10.50 %,5.17 %,334,31,365,30.52 %,48,25,73,20.00 %,158,24,6,85,273,25.73 %,10.14 %,29.72 %,22.83 %,70,43,41,61.43 %,52,16,1,16,85,4,89,11,7,0,1,97,2244,749,1624689,129350,8279,4462,4179,2964,2503,3305402
2023-01-26,10408,13977,6037,30422,9866,12635,5644,28145,1377,255,723,2355,13.23 %,1.82 %,11.98 %,7.74 %,769,68,837,35.54 %,115,54,169,20.19 %,383,16,6,215,620,27.81 %,8.63 %,29.74 %,26.33 %,41,27,23,65.85 %,38,27,3,11,79,4,111,8,4,1,0,116,2694,897,1603783,128166,8016,4377,3946,2899,2443,3257184
2023-01-25,6038,13809,3937,23784,5701,12424,3753,21878,643,223,395,1261,10.65 %,1.61 %,10.03 %,5.30 %,349,19,368,29.18 %,46,24,70,19.02 %,136,14,10,110,270,21.15 %,10.76 %,27.85 %,21.41 %,30,20,19,66.67 %,48,23,1,19,91,6,125,14,4,0,0,129,3440,299,1576257,125843,7429,4276,3390,2822,2374,3193146
2023-01-24,2402,14355,1080,17837,2100,13080,924,16104,130,186,94,410,5.41 %,1.30 %,8.70 %,2.30 %,89,0,89,21.71 %,3,5,8,8.99 %,43,4,6,26,79,33.08 %,5.38 %,27.66 %,19.27 %,24,16,15,66.67 %,85,50,8,20,163,7,33,11,3,0,1,37,4594,2392,1555119,124599,7171,4212,3169,2788,2355,3146384
2023-01-23,2541,13901,1059,17501,2238,12588,916,15742,186,264,74,524,7.32 %,1.90 %,6.99 %,2.99 %,76,2,78,14.89 %,5,3,8,10.26 %,28,16,8,18,70,15.05 %,9.09 %,24.32 %,13.36 %,37,30,27,81.08 %,41,34,3,8,86,2,31,10,1,1,0,33,3742,897,1539257,124190,7099,4182,3117,2770,2338,3087067
2023-01-22,2455,15179,1285,18919,2097,13847,1106,17050,262,419,88,769,10.67 %,2.76 %,6.85 %,4.06 %,86,1,87,11.31 %,4,5,9,10.34 %,32,24,2,22,80,12.21 %,6.21 %,25.00 %,10.40 %,41,27,26,65.85 %,27,7,0,12,46,1,35,13,3,1,0,39,1048,0,1523808,123672,7035,4134,3072,2730,2300,3051326
2023-01-21,2436,12766,2726,17928,2141,11574,2532,16247,131,251,103,485,5.38 %,1.97 %,3.78 %,2.71 %,108,6,114,23.51 %,2,1,3,2.63 %,45,18,6,36,105,34.35 %,9.56 %,34.95 %,21.65 %,70,46,45,65.71 %,24,25,1,11,61,1,34,11,2,0,0,36,3144,299,1507240,122910,6958,4091,3025,2692,2271,3029339
2023-01-20,2383,13155,2683,18221,2069,11905,2582,16556,140,205,88,433,5.87 %,1.56 %,3.28 %,2.38 %,93,4,97,22.40 %,2,5,7,7.22 %,45,10,4,23,82,32.14 %,6.83 %,26.14 %,18.94 %,71,50,46,70.42 %,31,22,4,17,74,1,34,10,0,1,0,35,4446,1196,1491710,122429,6857,4027,2949,2633,2217,3000771
2023-01-19,2285,12038,758,15081,1985,10760,636,13381,105,160,52,317,4.60 %,1.33 %,6.86 %,2.10 %,60,1,61,19.24 %,3,2,5,8.20 %,26,9,4,13,52,24.76 %,8.12 %,25.00 %,16.40 %,97,65,61,67.01 %,61,33,3,23,120,1,22,9,0,1,0,23,1196,897,1476019,122002,6776,3965,2913,2585,2177,2964111
2023-01-18,2110,13055,464,15629,1847,11813,370,14030,105,161,35,301,4.98 %,1.23 %,7.54 %,1.93 %,56,5,61,20.27 %,4,3,7,11.48 %,28,8,6,3,45,26.67 %,8.70 %,8.57 %,14.95 %,66,44,44,66.67 %,44,34,1,12,91,3,29,18,1,0,0,30,5044,299,1462957,121689,6730,3891,2892,2517,2140,2917796
2023-01-17,2080,13227,642,15949,1788,12078,538,14404,101,159,59,319,4.86 %,1.20 %,9.19 %,2.00 %,41,9,50,15.67 %,2,2,4,8.00 %,21,5,4,6,36,20.79 %,5.66 %,10.17 %,11.29 %,56,31,28,55.36 %,40,23,2,10,75,12,31,12,4,0,0,35,1196,1048,1449329,121392,6689,3830,2888,2470,2096,2876204
2023-01-16,2086,14085,737,16908,1790,12913,617,15320,104,154,60,318,4.99 %,1.09 %,8.14 %,1.88 %,58,4,62,19.50 %,1,7,8,12.90 %,26,9,4,14,53,25.00 %,8.44 %,23.33 %,16.67 %,67,41,39,61.19 %,44,33,2,11,90,14,16,9,2,0,0,18,1646,598,1435257,121079,6656,3792,2893,2443,2076,2848391
2023-01-15,2291,14848,1071,18210,1985,13571,938,16494,132,176,93,401,5.76 %,1.19 %,8.68 %,2.20 %,64,5,69,17.21 %,8,3,11,15.94 %,32,5,3,16,56,24.24 %,4.55 %,17.20 %,13.97 %,72,35,33,48.61 %,35,30,3,8,76,11,35,16,4,0,0,39,1347,1347,1420325,120764,6607,3738,2888,2398,2046,2813997
2023-01-14,2766,15231,1361,19358,2451,14060,1219,17730,170,220,104,494,6.15 %,1.44 %,7.64 %,2.55 %,104,3,107,21.66 %,6,6,12,11.21 %,40,25,4,25,94,23.53 %,13.18 %,24.04 %,19.03 %,64,40,34,62.50 %,41,27,5,12,85,11,27,7,3,0,0,30,3996,1495,1404374,120370,6553,3691,2865,2359,2019,2785139
2023-01-13,16651,14909,1381,32941,16350,13736,1243,31329,186,346,119,651,1.12 %,2.32 %,8.62 %,1.98 %,88,6,94,14.44 %,8,3,11,11.70 %,34,20,2,21,77,18.28 %,6.36 %,17.65 %,11.83 %,41,17,17,41.46 %,23,21,4,10,58,14,29,6,2,0,0,31,598,1196,1387381,119880,6464,3637,2807,2314,1987,2746746
